[np.float64(-0.003606219797145482), np.float64(0.5458762781767692), np.float64(-0.3939049683939697), np.float64(-32.62563131168367), np.float64(1088.8535114737463), np.float64(-2.6131089986640825), np.float64(1.3649701201904285), np.float64(9.5984813862679)]
[np.float64(1.237641057716139e-308), np.float64(0.06465782468216502), np.float64(-0.048787318954137154), np.float64(-29.318011239067143), np.float64(472.6995815048877), np.float64(-1.1391424712289726), np.float64(0.06550477757379833), np.float64(9.6418401133519)]
[np.float64(-2.1750284397652312e-43), np.float64(0.17566436969604843), np.float64(-0.04969945572808648), np.float64(-4.025540241145276), np.float64(1088.8535114737463), np.float64(-0.5925846483199896), np.float64(1.1276053543094147), np.float64(9.8569503990799)]
[np.float64(-2.526832555373913e-60), np.float64(0.6612732788509388), np.float64(-0.11130102512639695), np.float64(-1.0988742966743454), np.float64(1513.3049029293586), np.float64(-0.8286621616036125), np.float64(0.5075293175519995), np.float64(9.9477396987374)]
[np.float64(3.9132889736602613e-81), np.float64(0.5281368705482168), np.float64(-0.27073902468816746), np.float64(-15.441692398348177), np.float64(88.61613670263588), np.float64(-2.382478286058939), np.float64(0.0007165677147890787), np.float64(9.6719546004781)]
[np.float64(-8.028842574710586e-42), np.float64(0.7843694604014655), np.float64(-0.042885215750335756), np.float64(-12.747445556701674), np.float64(44.56790661878319), np.float64(-1.1599256318790203), np.float64(0.5763159658663746), np.float64(9.4489820034974)]
[np.float64(-1.0449004136393922e-22), np.float64(0.571599983683343), np.float64(-0.03996446428663898), np.float64(-14.892779030902826), np.float64(976.8066045249683), np.float64(-0.670451143998971), np.float64(2.402348648054967), np.float64(9.6015622921061)]
[np.float64(-2.820014336481188e-48), np.float64(0.4183161117651154), np.float64(-0.10865336055983822), np.float64(-12.236831492946127), np.float64(1285.4697786864638), np.float64(-0.7522686466299074), np.float64(1.7273032249712312), np.float64(9.5085606063475)]
[np.float64(1.2205190906926124e-08), np.float64(0.6773369360993695), np.float64(-0.07328700046470267), np.float64(-11.35195593241809), np.float64(677.8614123107656), np.float64(-0.44168991392979573), np.float64(1.0330808540321927), np.float64(9.8720202531314)]
[np.float64(1.7777916949132221e-19), np.float64(0.294629069692715), np.float64(-0.060295591161217105), np.float64(-20.768342260299686), np.float64(1228.9334442204602), np.float64(-0.2890095251948754), np.float64(0.7256545337861763), np.float64(9.2099667796019)]
[np.float64(2.016991536589848e-33), np.float64(0.3762580777463512), np.float64(-0.033330865358791414), np.float64(-11.467365274332213), np.float64(971.9245547045626), np.float64(-0.5983826226943812), np.float64(1.8200116920477367), np.float64(9.8699339161814)]
